train_num,route_id,direction,sid1,sname1,sid2,sname2,ts1,ts2,mins,hrs,day_of_week
1,MRT-PI,go,PK01,Nonthaburi Civic Center,PK02,Khae Rai,06:00:00,06:02:00,2.0,6,Saturday
1,MRT-PI,go,PK02,Khae Rai,PK03,Sanambin Nam,06:02:00,06:04:00,2.0,6,Saturday
1,MRT-PI,go,PK03,Sanambin Nam,PK04,Samakkhi,06:04:00,06:06:00,2.0,6,Saturday
1,MRT-PI,go,PK04,Samakkhi,PK05,Royal Irrigation Department,06:06:00,06:08:00,2.0,6,Saturday
1,MRT-PI,go,PK05,Royal Irrigation Department,PK06,Yaek Pak Kret,06:08:00,06:10:00,2.0,6,Saturday
1,MRT-PI,go,PK06,Yaek Pak Kret,PK07,Pak Kret Bypass,06:10:00,06:12:00,2.0,6,Saturday
1,MRT-PI,go,PK07,Pak Kret Bypass,PK08,Chaeng Watthana - Pak Kret 28,06:12:00,06:14:00,2.0,6,Saturday
1,MRT-PI,go,PK08,Chaeng Watthana - Pak Kret 28,PK09,Si Rat,06:14:00,06:16:00,2.0,6,Saturday
1,MRT-PI,go,PK09,Si Rat,PK10,Muang Thong Thani,06:16:00,06:18:00,2.0,6,Saturday
1,MRT-PI,go,PK10,Muang Thong Thani,PK11,Chaeng Watthana 14,06:18:00,06:20:00,2.0,6,Saturday
1,MRT-PI,go,PK11,Chaeng Watthana 14,PK12,Government Complex,06:20:00,06:21:00,1.0,6,Saturday
1,MRT-PI,go,PK12,Government Complex,PK13,National Telecom,06:21:00,06:23:00,2.0,6,Saturday
1,MRT-PI,go,PK13,National Telecom,PK14,Lak Si,06:23:00,06:25:00,2.0,6,Saturday
1,MRT-PI,go,PK14,Lak Si,PK15,Rajabhat Phranakhon,06:25:00,06:26:00,1.0,6,Saturday
1,MRT-PI,go,PK15,Rajabhat Phranakhon,PK16,Wat Phra Sri Mahathat,06:26:00,06:28:00,2.0,6,Saturday
1,MRT-PI,go,PK16,Wat Phra Sri Mahathat,PK17,Ram Inthra 3,06:28:00,06:30:00,2.0,6,Saturday
1,MRT-PI,go,PK17,Ram Inthra 3,PK18,Lat Pla Khao,06:30:00,06:31:00,1.0,6,Saturday
1,MRT-PI,go,PK18,Lat Pla Khao,PK19,Ram Inthra Kor Mor 4,06:31:00,06:33:00,2.0,6,Saturday
1,MRT-PI,go,PK19,Ram Inthra Kor Mor 4,PK20,Maiyalap,06:33:00,06:35:00,2.0,6,Saturday
1,MRT-PI,go,PK20,Maiyalap,PK21,Vacharaphol,06:35:00,06:36:00,1.0,6,Saturday
1,MRT-PI,go,PK21,Vacharaphol,PK22,Ram Inthra Kor Mor 6,06:36:00,06:38:00,2.0,6,Saturday
1,MRT-PI,go,PK22,Ram Inthra Kor Mor 6,PK23,Khu Bon,06:38:00,06:40:00,2.0,6,Saturday
1,MRT-PI,go,PK23,Khu Bon,PK24,Ram Inthra Kor Mor 9,06:40:00,06:42:00,2.0,6,Saturday
1,MRT-PI,go,PK24,Ram Inthra Kor Mor 9,PK25,Outer Ring Road - Ram Inthra,06:42:00,06:44:00,2.0,6,Saturday
1,MRT-PI,go,PK25,Outer Ring Road - Ram Inthra,PK26,Nopparat,06:44:00,06:46:00,2.0,6,Saturday
1,MRT-PI,go,PK26,Nopparat,PK27,Bang Chan,06:46:00,06:48:00,2.0,6,Saturday
1,MRT-PI,go,PK27,Bang Chan,PK28,Setthabutbamphen,06:48:00,06:50:00,2.0,6,Saturday
1,MRT-PI,go,PK28,Setthabutbamphen,PK29,Min Buri Market,06:50:00,06:52:00,2.0,6,Saturday
1,MRT-PI,go,PK29,Min Buri Market,PK30,Min Buri,06:52:00,06:54:00,2.0,6,Saturday
2,MRT-PI,go,PK01,Nonthaburi Civic Center,PK02,Khae Rai,06:10:00,06:12:00,2.0,6,Saturday
2,MRT-PI,go,PK02,Khae Rai,PK03,Sanambin Nam,06:12:00,06:14:00,2.0,6,Saturday
2,MRT-PI,go,PK03,Sanambin Nam,PK04,Samakkhi,06:14:00,06:16:00,2.0,6,Saturday
2,MRT-PI,go,PK04,Samakkhi,PK05,Royal Irrigation Department,06:16:00,06:18:00,2.0,6,Saturday
2,MRT-PI,go,PK05,Royal Irrigation Department,PK06,Yaek Pak Kret,06:18:00,06:20:00,2.0,6,Saturday
2,MRT-PI,go,PK06,Yaek Pak Kret,PK07,Pak Kret Bypass,06:20:00,06:22:00,2.0,6,Saturday
2,MRT-PI,go,PK07,Pak Kret Bypass,PK08,Chaeng Watthana - Pak Kret 28,06:22:00,06:24:00,2.0,6,Saturday
2,MRT-PI,go,PK08,Chaeng Watthana - Pak Kret 28,PK09,Si Rat,06:24:00,06:26:00,2.0,6,Saturday
2,MRT-PI,go,PK09,Si Rat,PK10,Muang Thong Thani,06:26:00,06:28:00,2.0,6,Saturday
2,MRT-PI,go,PK10,Muang Thong Thani,PK11,Chaeng Watthana 14,06:28:00,06:30:00,2.0,6,Saturday
2,MRT-PI,go,PK11,Chaeng Watthana 14,PK12,Government Complex,06:30:00,06:31:00,1.0,6,Saturday
2,MRT-PI,go,PK12,Government Complex,PK13,National Telecom,06:31:00,06:33:00,2.0,6,Saturday
2,MRT-PI,go,PK13,National Telecom,PK14,Lak Si,06:33:00,06:35:00,2.0,6,Saturday
2,MRT-PI,go,PK14,Lak Si,PK15,Rajabhat Phranakhon,06:35:00,06:36:00,1.0,6,Saturday
2,MRT-PI,go,PK15,Rajabhat Phranakhon,PK16,Wat Phra Sri Mahathat,06:36:00,06:38:00,2.0,6,Saturday
2,MRT-PI,go,PK16,Wat Phra Sri Mahathat,PK17,Ram Inthra 3,06:38:00,06:40:00,2.0,6,Saturday
2,MRT-PI,go,PK17,Ram Inthra 3,PK18,Lat Pla Khao,06:40:00,06:41:00,1.0,6,Saturday
2,MRT-PI,go,PK18,Lat Pla Khao,PK19,Ram Inthra Kor Mor 4,06:41:00,06:43:00,2.0,6,Saturday
2,MRT-PI,go,PK19,Ram Inthra Kor Mor 4,PK20,Maiyalap,06:43:00,06:45:00,2.0,6,Saturday
2,MRT-PI,go,PK20,Maiyalap,PK21,Vacharaphol,06:45:00,06:46:00,1.0,6,Saturday
2,MRT-PI,go,PK21,Vacharaphol,PK22,Ram Inthra Kor Mor 6,06:46:00,06:48:00,2.0,6,Saturday
2,MRT-PI,go,PK22,Ram Inthra Kor Mor 6,PK23,Khu Bon,06:48:00,06:50:00,2.0,6,Saturday
2,MRT-PI,go,PK23,Khu Bon,PK24,Ram Inthra Kor Mor 9,06:50:00,06:52:00,2.0,6,Saturday
2,MRT-PI,go,PK24,Ram Inthra Kor Mor 9,PK25,Outer Ring Road - Ram Inthra,06:52:00,06:54:00,2.0,6,Saturday
2,MRT-PI,go,PK25,Outer Ring Road - Ram Inthra,PK26,Nopparat,06:54:00,06:56:00,2.0,6,Saturday
2,MRT-PI,go,PK26,Nopparat,PK27,Bang Chan,06:56:00,06:58:00,2.0,6,Saturday
2,MRT-PI,go,PK27,Bang Chan,PK28,Setthabutbamphen,06:58:00,07:00:00,2.0,6,Saturday
2,MRT-PI,go,PK28,Setthabutbamphen,PK29,Min Buri Market,07:00:00,07:02:00,2.0,7,Saturday
2,MRT-PI,go,PK29,Min Buri Market,PK30,Min Buri,07:02:00,07:04:00,2.0,7,Saturday
3,MRT-PI,go,PK01,Nonthaburi Civic Center,PK02,Khae Rai,06:20:00,06:22:00,2.0,6,Saturday
3,MRT-PI,go,PK02,Khae Rai,PK03,Sanambin Nam,06:22:00,06:24:00,2.0,6,Saturday
3,MRT-PI,go,PK03,Sanambin Nam,PK04,Samakkhi,06:24:00,06:26:00,2.0,6,Saturday
3,MRT-PI,go,PK04,Samakkhi,PK05,Royal Irrigation Department,06:26:00,06:28:00,2.0,6,Saturday
3,MRT-PI,go,PK05,Royal Irrigation Department,PK06,Yaek Pak Kret,06:28:00,06:30:00,2.0,6,Saturday
3,MRT-PI,go,PK06,Yaek Pak Kret,PK07,Pak Kret Bypass,06:30:00,06:32:00,2.0,6,Saturday
3,MRT-PI,go,PK07,Pak Kret Bypass,PK08,Chaeng Watthana - Pak Kret 28,06:32:00,06:34:00,2.0,6,Saturday
3,MRT-PI,go,PK08,Chaeng Watthana - Pak Kret 28,PK09,Si Rat,06:34:00,06:36:00,2.0,6,Saturday
3,MRT-PI,go,PK09,Si Rat,PK10,Muang Thong Thani,06:36:00,06:38:00,2.0,6,Saturday
3,MRT-PI,go,PK10,Muang Thong Thani,PK11,Chaeng Watthana 14,06:38:00,06:40:00,2.0,6,Saturday
3,MRT-PI,go,PK11,Chaeng Watthana 14,PK12,Government Complex,06:40:00,06:41:00,1.0,6,Saturday
3,MRT-PI,go,PK12,Government Complex,PK13,National Telecom,06:41:00,06:43:00,2.0,6,Saturday
3,MRT-PI,go,PK13,National Telecom,PK14,Lak Si,06:43:00,06:45:00,2.0,6,Saturday
3,MRT-PI,go,PK14,Lak Si,PK15,Rajabhat Phranakhon,06:45:00,06:46:00,1.0,6,Saturday
3,MRT-PI,go,PK15,Rajabhat Phranakhon,PK16,Wat Phra Sri Mahathat,06:46:00,06:48:00,2.0,6,Saturday
3,MRT-PI,go,PK16,Wat Phra Sri Mahathat,PK17,Ram Inthra 3,06:48:00,06:50:00,2.0,6,Saturday
3,MRT-PI,go,PK17,Ram Inthra 3,PK18,Lat Pla Khao,06:50:00,06:51:00,1.0,6,Saturday
3,MRT-PI,go,PK18,Lat Pla Khao,PK19,Ram Inthra Kor Mor 4,06:51:00,06:53:00,2.0,6,Saturday
3,MRT-PI,go,PK19,Ram Inthra Kor Mor 4,PK20,Maiyalap,06:53:00,06:55:00,2.0,6,Saturday
3,MRT-PI,go,PK20,Maiyalap,PK21,Vacharaphol,06:55:00,06:56:00,1.0,6,Saturday
3,MRT-PI,go,PK21,Vacharaphol,PK22,Ram Inthra Kor Mor 6,06:56:00,06:58:00,2.0,6,Saturday
